Trinormal distribution
 Iter        X1        X2        X3
   56    0.9176    1.8143    2.8457
   57    0.8625    1.9133    2.6755
   58    1.0019    2.0617    3.0727
   59    1.0120    2.1525    3.1007
   60    1.0586    2.1960    3.0456
   61    1.0264    2.0024    3.2452
   62    0.9995    2.0825    3.0566
   63    1.0646    1.9376    2.8375
   64    0.9328    1.6212    3.4105
   65    0.9739    1.6800    3.6127
   66    1.0601    1.6987    3.6925
   67    1.0184    1.7764    3.6331
   68    1.0653    1.9379    3.4285
   69    1.1358    2.0494    3.1193
   70    1.0006    1.7557    2.9383
   71    0.9526    1.9032    2.7307
   72    0.9135    1.6147    3.0903
   73    0.9362    1.7410    2.9682
   74    0.9357    1.7288    2.9050
   75    0.9572    1.9149    2.9395
   76    0.9564    1.7445    2.7669
   77    0.9762    1.6187    3.1267
   78    1.0056    1.7116    3.0514
   79    1.1367    1.9304    3.0975
   80    1.0602    2.2032    3.0175
   81    1.0119    2.2729    3.0738
   82    0.9613    2.3567    3.0542
   83    0.9220    2.2807    2.7899
   84    0.9941    2.2663    2.9236
   85    1.0415    2.2617    2.9272
   86    0.9408    2.2187    3.0146
   87    0.9814    2.1764    2.9255
   88    0.9805    2.1957    2.7650
   89    0.9978    2.2151    2.7517
   90    0.9376    2.0083    2.6942
   91    0.9491    1.8499    3.1586
   92    1.0006    1.7483    3.0436
   93    1.1192    2.0134    3.4894
   94    1.0974    2.0634    3.4924
   95    1.0183    1.9271    3.3047
   96    0.9280    2.1017    3.0372
   97    0.9785    1.8326    3.3679
   98    1.1107    2.0614    3.5241
   99    1.1004    1.9396    3.2522
  100    1.0985    1.9926    2.9772
  101    1.1011    1.9672    3.2537
  102    1.1298    1.9964    3.4465
  103    1.1633    2.0816    3.4835
  104    1.0532    1.6557    3.4561
  105    1.1463    1.7639    3.1455
  106    1.1712    1.7795    3.2374
  107    1.0962    1.6445    3.2095
  108    1.0393    1.6282    3.1239
  109    1.1044    1.9136    3.1837
  110    0.8828    1.8458    2.6546
  111    0.8981    1.6832    2.8833
  112    0.9595    1.7058    2.6814
  113    0.9749    1.8586    2.6232
  114    1.0473    2.2037    2.6963
  115    0.9550    2.0680    2.7152
  116    0.8484    2.0574    2.6464
  117    1.0057    1.7393    2.9649
  118    1.0213    2.1256    2.9067
  119    1.0319    2.0093    3.2550
  120    1.0371    2.0813    3.0409
  121    1.0457    1.8878    3.5031
  122    1.1110    1.9259    3.4223
  123    1.0010    1.9252    3.2015
  124    0.9440    1.7761    3.3703
  125    0.8493    1.7988    2.7435
  126    0.9726    1.6373    3.1115
  127    0.9003    1.7502    3.0555
  128    1.0461    1.7329    3.3872
  129    1.2045    1.9368    3.5200
  130    1.1224    1.7785    3.2975
  131    1.1429    1.9669    3.4608
  132    1.1099    1.9547    3.2511
  133    1.0948    1.9647    3.4407
  134    1.0338    1.6931    3.3303
  135    1.0848    1.8478    3.4700
  136    0.9656    1.5669    3.4075
  137    0.8891    1.5781    3.0856
  138    0.8983    1.6745    2.9331
  139    0.9319    1.6877    2.8653
  140    0.8459    1.8788    2.8152
  141    0.9288    1.9985    2.6541
  142    0.9503    1.9039    2.7530
  143    0.8849    2.0600    2.9249
  144    0.8393    2.1258    2.8798
  145    0.8164    1.9952    2.6544
  146    0.8196    1.8271    2.7633
  147    0.9035    2.0234    2.5040
  148    1.1221    2.2306    2.8877
  149    1.0554    2.2779    2.8939
  150    1.1103    2.1653    2.9353
  151    0.9963    2.1609    2.6181
  152    1.0002    2.0707    3.1187
  153    0.9343    1.8814    2.8574
  154    0.9761    1.7948    3.0812
  155    0.8820    1.6120    3.1755
  156    1.0144    1.8843    3.2245
  157    0.9581    1.9008    3.1126
  158    0.9768    2.0474    3.0637
  159    1.1334    2.1094    3.0586
  160    1.0262    2.1756    3.1565
  161    1.0034    2.2237    2.8626
  162    0.9495    2.1105    2.9920
  163    1.0650    2.0976    3.2758
  164    1.0067    2.0140    3.2723
  165    1.0759    1.9400    2.9394
  166    1.1250    2.0719    3.1940
  167    1.0903    2.0238    3.0742
  168    1.1074    2.1382    2.8732
  169    1.0716    1.8306    3.0912
  170    0.9909    1.9704    3.1119
  171    1.0724    1.8684    2.9140
  172    1.0951    2.0215    2.6285
  173    1.1100    2.2174    2.7889
  174    0.9845    2.4593    2.6375
  175    1.0481    2.1176    3.0449
  176    1.1219    2.1859    2.6126
  177    1.0814    1.8074    2.7524
  178    1.0217    2.0123    2.3925
  179    1.0863    2.0647    2.7338
  180    1.0494    2.0128    2.7682
  181    0.8596    1.9108    2.6809
  182    0.9588    2.1740    2.5640
  183    1.0451    2.2572    2.8557
  184    1.0895    2.0419    3.0878
  185    0.9998    1.9461    3.0884
  186    1.0226    2.0161    3.0775
  187    0.8722    2.0602    2.8559
  188    0.8578    1.9616    2.9633
  189    0.8371    1.6193    3.1162
  190    0.8851    2.0067    2.9784
  191    0.9743    2.2630    3.3369
  192    0.9848    1.8750    3.6733
  193    1.0063    2.2568    3.1893
  194    1.1063    2.1838    3.2689
  195    1.0594    1.9694    2.8883
  196    1.1316    1.9928    3.2540
  197    1.0128    2.0139    3.0949
  198    1.0435    2.1685    3.1154
  199    0.9924    2.0958    2.7019
  200    0.9959    1.8560    3.3785
  201    0.8635    1.9238    3.0986
  202    0.8290    2.1265    2.8982
  203    0.9993    2.1744    3.3825
  204    1.0570    2.1393    3.3199
  205    1.1042    2.3147    3.0712
  206    0.9559    2.1417    2.8090
  207    0.8717    2.1608    2.7811
  208    0.8732    2.2137    2.7888
  209    0.8588    2.1017    2.6867
  210    0.9743    1.9559    3.1240
  211    0.9863    1.8251    3.1645
  212    0.8388    1.7564    2.9986
  213    0.8273    2.0014    2.6605
  214    0.8710    1.8865    3.0591
  215    0.8339    2.0397    2.5910
  216    0.9311    1.9545    2.5354
  217    0.9489    2.1186    2.5861
  218    0.9798    1.9933    2.7008
  219    0.9091    1.9526    2.4003
  220    0.9884    2.2175    2.5119
  221    0.9450    2.1703    2.5344
  222    0.8827    1.7443    2.5026
  223    0.9999    1.5938    3.4099
  224    1.1104    1.7893    3.4236
  225    1.1856    2.1770    3.4200
  226    1.1370    2.0620    3.3209
  227    1.1005    1.9207    3.3088
  228    0.9614    1.8598    2.9145
  229    0.9074    1.7952    3.2045
  230    0.9156    1.7913    2.9315
  231    0.9777    2.0378    2.9597
  232    0.8792    1.8015    2.8508
  233    0.9054    1.9630    3.2179
  234    0.8870    1.9116    3.1607
  235    0.8649    1.8816    2.9784
  236    0.8783    1.9860    2.6319
  237    0.9794    1.7804    2.9799
  238    0.9400    1.8310    2.6622
  239    0.9279    1.7688    2.7795
  240    0.8736    1.6826    2.8243
  241    0.9762    1.6131    3.0883
  242    1.0001    1.7758    2.8144
  243    1.0927    1.9231    2.9470
  244    1.0059    1.7912    2.9783
  245    1.0428    1.9667    3.3413
  246    1.0749    1.8807    3.2124
  247    1.1075    1.7793    2.9773
  248    1.1818    1.9563    3.1005
  249    1.1100    1.7618    3.3304
  250    1.1023    1.8974    3.2005
  251    1.0664    2.0883    3.1072
  252    0.8972    2.0333    3.0762
  253    0.9568    2.0189    3.0143
  254    0.9379    1.9749    2.9073
  255    1.0486    1.9847    3.0562
  256    0.8197    1.5576    2.6187
  257    0.7945    1.8362    2.2608
  258    0.8472    2.0743    2.1744
  259    0.9856    2.0977    2.2940
  260    1.1214    2.2013    2.7415
  261    1.0086    2.1580    2.7217
  262    1.0924    2.1560    2.9243
  263    1.1539    2.1804    3.2759
  264    1.1188    2.2301    3.0531
  265    1.0505    2.1597    2.7831
  266    1.0771    2.3009    3.0535
  267    1.0905    2.1829    3.0113
  268    1.1154    2.0991    3.0188
  269    1.0615    1.8747    3.1032
  270    0.9766    1.8013    2.9431
  271    0.9430    1.8980    2.9305
  272    0.9579    1.9281    2.9875
  273    0.7824    1.6717    2.8194
  274    0.9995    2.0323    2.6736
  275    0.9192    1.7978    2.8978
  276    0.9214    1.9219    2.9330
  277    1.0109    1.7175    3.1774
  278    0.9920    1.7522    3.2529
  279    0.9385    1.9458    3.1013
  280    0.8357    2.0141    2.5182
  281    0.7722    1.9674    2.5964
  282    0.7924    1.7485    2.4556
  283    0.8085    1.7929    2.7712
  284    0.9850    2.2057    2.9163
  285    0.9518    2.1549    2.8693
  286    0.9150    2.1142    2.6157
  287    1.0512    2.1711    3.0495
  288    0.9555    2.0117    2.9737
  289    1.0249    1.9438    2.8353
  290    0.9995    2.0409    2.7210
  291    1.0233    1.8056    2.8045
  292    0.9008    1.8794    2.5865
  293    0.9932    2.0997    2.6218
  294    1.1516    1.9543    3.4418
  295    1.1230    2.1800    3.0206
  296    1.1235    2.1721    3.0423
  297    1.0058    1.9158    3.1687
  298    0.9137    1.8235    2.7038
  299    0.8509    1.9389    2.7945
  300    0.8705    1.8736    2.6121
  301    0.9922    2.0966    3.1676
  302    1.0960    2.3578    3.3433
  303    0.9524    1.8650    2.9982
  304    0.9504    1.7847    2.7609
  305    1.0436    1.9207    3.1340
  306    0.9398    2.1374    2.7949
  307    1.0623    1.7877    3.4230
  308    1.0470    1.8746    3.2413
  309    0.9566    2.2338    2.7074
  310    1.0737    2.1736    2.9034
  311    1.0733    2.1889    3.1608
  312    1.0218    2.2107    2.9906
  313    1.0440    1.7536    3.4321
  314    1.0270    1.7017    3.4285
  315    1.0386    2.0571    3.2566
  316    1.0520    1.9767    3.4243
  317    1.1866    2.0764    3.4550
  318    1.1673    2.1320    3.1949
  319    1.0131    2.0520    2.7147
  320    1.1137    2.0523    3.3194
  321    1.0957    2.1537    3.3374
  322    1.0689    2.0618    3.3159
  323    1.0903    1.8707    3.7043
  324    1.0439    1.7559    3.6010
  325    0.8944    1.8517    3.2067
  326    0.8591    1.8935    2.6485
  327    0.8024    1.9062    2.8006
  328    0.8309    1.6647    2.8898
  329    0.8696    1.7429    2.9368
  330    0.9811    1.7195    2.9377
  331    1.1850    1.6858    3.4514
  332    1.0689    1.6102    3.6219
  333    1.0284    1.6607    3.3522
  334    1.1215    2.1450    3.1582
  335    0.9732    1.9916    2.8622
  336    1.0212    2.4424    2.9817
  337    1.0342    2.1061    3.0958
  338    1.0831    1.9902    3.3581
  339    0.9997    1.8945    3.3723
  340    1.1057    1.9162    3.4828
  341    1.0544    1.8079    3.2395
  342    1.1960    2.2174    3.3337
  343    1.1396    2.3475    3.1306
  344    1.1501    2.4205    3.0349
  345    0.9180    2.2886    2.9270
  346    0.8056    2.0893    2.8014
  347    0.9186    2.1063    2.7369
  348    1.0825    2.0533    3.0826
  349    1.1300    2.0964    3.0323
  350    1.0565    2.2300    3.1552
  351    1.0878    2.1584    3.1904
  352    1.0522    1.7999    3.2918
  353    1.1115    1.8281    3.2698
  354    1.0390    1.9968    3.4366
  355    1.0482    2.0536    2.9818
  356    0.9427    2.1343    2.9610
  357    0.8811    2.1535    3.0547
  358    0.8632    2.0680    2.8935
  359    0.9089    2.1775    3.0291
  360    0.8881    2.0643    3.0653
  361    0.9200    2.1086    3.0370
  362    0.8963    1.7880    3.1675
  363    0.8346    1.6990    2.8568
  364    0.8195    1.8016    2.4870
  365    0.8635    1.8933    2.7065
  366    0.7944    1.6051    2.6525
  367    0.7882    1.5338    2.7271
  368    0.9916    1.8174    2.8081
  369    0.8770    2.1429    2.5818
  370    0.9423    2.2693    2.5561
  371    1.0459    2.3095    2.7966
  372    1.1137    2.1665    3.0424
  373    1.0819    2.2999    2.8785
  374    1.0561    2.0127    3.2532
  375    1.0051    1.8278    3.3660
  376    1.0332    1.7069    3.3772
  377    1.0978    1.8415    3.5470
  378    0.9703    1.7653    3.4355
  379    0.9753    1.8007    3.0386
  380    0.9601    1.9236    2.7819
  381    0.8590    1.8101    2.7066
  382    0.8672    1.7712    2.9468
  383    1.0731    2.0841    2.9524
  384    1.0814    2.1932    3.1748
  385    0.9518    2.0708    2.8256
  386    1.0137    2.1129    2.8373
  387    1.0177    2.2571    2.8519
  388    1.0240    1.8994    3.0470
  389    1.0808    1.8551    3.0922
  390    1.1218    1.9046    3.2255
  391    1.1494    2.0114    3.4165
  392    1.1505    1.8926    3.3352
  393    1.1134    1.8758    3.3726
  394    1.1010    1.8070    3.3374
  395    0.9729    1.9533    3.0174
  396    1.0442    1.8226    3.3913
  397    0.9246    2.0037    2.8124
  398    0.9920    1.7267    3.2463
  399    0.9700    1.8231    2.8691
  400    0.9774    1.9399    2.9219
  401    0.9837    2.1263    2.7106
  402    1.0177    1.9291    2.6694
  403    1.1065    1.6255    3.2337
  404    1.1486    1.7617    3.4642
  405    1.0566    1.8519    3.3452
  406    1.0463    1.7211    3.3184
  407    1.1383    1.7017    3.3067
  408    1.1243    1.7465    3.2143
  409    1.0564    1.7943    2.9173
  410    1.1428    1.9935    3.0515
  411    1.1209    1.9947    3.2853
  412    1.1447    1.9078    3.3580
  413    1.0186    1.9500    3.0427
  414    0.9840    1.8273    2.8062
  415    0.9971    1.7813    2.8875
  416    1.1040    1.9008    3.5638
  417    0.9403    1.5750    3.5118
  418    0.9086    1.7501    3.3209
  419    0.8823    1.9240    3.1399
  420    1.0562    2.1486    3.1812
  421    0.9472    2.0439    3.0149
  422    0.8195    1.9583    3.1024
  423    0.9746    2.2179    3.0406
  424    0.8971    1.9958    2.8618
  425    0.9666    1.9729    3.0941
  426    1.0666    1.9499    2.9926
  427    1.0899    1.9713    3.0781
  428    0.9075    2.0591    2.7445
  429    0.9123    2.3408    2.8198
  430    0.8921    2.2412    2.7658
  431    0.8704    2.2340    2.6403
  432    0.9112    2.1804    2.8411
  433    0.9393    2.0823    2.5465
  434    0.9724    2.1271    2.7293
  435    0.9656    1.8959    2.8951
  436    0.8795    1.6718    2.9411
  437    1.0636    1.7768    3.3744
  438    1.1528    2.1618    2.8819
  439    1.2412    2.1560    3.4615
  440    1.1039    2.0626    2.8914
  441    1.0174    2.1596    2.6296
  442    1.0558    2.1141    2.7132
  443    1.0023    1.9642    2.8544
  444    1.0216    2.1920    2.8161
  445    0.9149    1.8686    2.6122
  446    1.0250    1.9729    2.8078
  447    1.1465    1.9172    3.1365
  448    1.0982    2.0995    2.9029
  449    1.1972    2.2257    3.0420
  450    1.0469    2.1441    2.4858
  451    1.0053    1.8418    2.7419
  452    1.0069    2.1894    2.8703
  453    1.0236    1.9685    3.0009
  454    1.0784    1.7004    3.6973
  455    0.8993    1.4937    3.5111
  456    0.8075    1.5574    2.9389
  457    0.9341    1.6954    3.0385
  458    0.9876    1.7421    2.8914
  459    0.8558    1.5717    2.6898
  460    0.9563    1.6402    2.8219
  461    0.9093    1.8412    2.6932
  462    1.0009    1.9383    2.7830
  463    0.9680    2.1778    2.9234
  464    1.0295    2.1078    2.7796
  465    1.0546    2.2988    2.6769
  466    0.8995    2.2762    2.4687
  467    0.9733    2.5053    2.5618
  468    0.9446    2.2407    2.7081
  469    0.9408    2.1321    2.6640
  470    0.8016    1.8246    2.4345
  471    0.7719    1.9945    2.1732
  472    0.7610    1.8591    2.2434
  473    0.7126    1.5923    2.1982
  474    0.7698    1.7532    2.7407
  475    0.9447    1.7448    2.8153
  476    0.9467    1.8026    2.7269
  477    0.7530    1.8112    2.2943
  478    0.7359    1.9417    2.2466
  479    0.7699    1.8810    2.5826
  480    0.8876    1.7964    2.8539
  481    0.9107    2.0470    2.9766
  482    0.9891    2.2174    2.7370
  483    0.9792    2.2894    2.9538
  484    0.9847    2.1629    2.7199
  485    0.9942    2.1633    2.6129
  486    1.1174    2.1144    2.9839
  487    1.1406    2.3198    3.1133
  488    1.2083    2.3133    3.0823
  489    1.0474    2.0937    2.7730
  490    0.9880    1.9984    2.9900
  491    0.9734    1.8619    3.0574
  492    0.9607    2.0254    2.9400
  493    0.9779    1.9413    2.9579
  494    0.9991    1.9237    2.8196
  495    1.0617    1.8019    3.1583
  496    1.1501    1.8405    3.3268
  497    1.0388    1.8193    3.0433
  498    1.0066    2.0070    2.9738
  499    0.9803    2.1825    2.6176
  500    0.9475    2.2048    2.6689
  501    0.9779    2.1922    3.2307
  502    1.0041    2.0387    3.1827
  503    1.0271    2.1186    3.3948
  504    0.9578    2.1468    3.2231
  505    1.0165    2.3198    3.2795
  506    1.0383    2.3579    3.2713
  507    0.9960    2.3367    2.9383
  508    0.9914    1.9088    3.3846
  509    0.8403    1.7186    3.1665
  510    0.7977    1.7973    2.9284
  511    0.8799    1.8772    3.0932
  512    1.0504    1.8476    3.5117
  513    1.1041    1.8811    3.5218
  514    1.0162    1.7344    3.2939
  515    0.9765    1.6056    3.3477
  516    0.9337    1.7822    3.3409
  517    0.8878    1.8743    3.0821
  518    0.9886    2.0535    3.0309
  519    0.9877    2.1566    3.1736
  520    1.0675    1.9984    3.2333
  521    1.1071    2.0080    3.1120
  522    0.8999    1.7123    3.2531
  523    0.9312    1.8180    2.9872
  524    0.8795    1.9191    2.9680
  525    0.9856    1.8403    3.1456
  526    0.9403    2.0945    2.6944
  527    1.0600    1.8675    3.1139
  528    0.9970    1.8197    2.9132
  529    1.0725    1.8772    3.1810
  530    0.9968    1.9830    3.2563
  531    0.8910    1.9961    2.8378
  532    1.0867    2.1641    2.9828
  533    1.0279    2.0009    2.9260
  534    0.9415    1.9134    2.7997
  535    1.0236    1.9686    2.7210
  536    0.9760    1.9825    2.7791
  537    1.0735    1.8922    3.1103
  538    0.9703    1.9605    2.7586
  539    1.0800    1.9358    2.9395
  540    1.1331    1.7464    3.4138
  541    1.1400    1.3922    3.7579
  542    1.2429    1.4824    3.6563
  543    1.1703    1.4221    3.6740
  544    1.2665    1.7639    3.7845
  545    1.2206    1.9004    3.7102
  546    1.2807    1.9389    3.4017
  547    1.2281    1.9085    3.0194
  548    1.1949    2.0414    3.6688
  549    1.0645    2.1606    3.1503
  550    0.9621    2.1779    3.1224
  551    1.0589    2.2646    2.8815
  552    1.0104    2.0262    2.8510
  553    0.9895    1.6811    3.1807
  554    0.8688    1.5538    2.9021
  555    0.8954    1.8607    3.0868
  556    0.9474    1.7479    3.0298
  557    1.0636    1.7443    3.1952
  558    1.0029    1.9706    2.7877
  559    1.0341    2.2872    2.9542
  560    1.0861    2.1018    3.0037
  561    1.0527    2.0208    3.1291
  562    0.9265    2.3078    2.9030
  563    0.8598    2.1136    2.9234
  564    0.7803    2.0133    2.6805
  565    0.6917    2.0142    2.5361
  566    0.8677    2.1166    2.5553
  567    0.8965    2.0778    2.8035
  568    1.0185    2.1103    3.2544
  569    1.0391    2.0788    3.1544
  570    1.0150    1.8385    3.0257
  571    1.0486    1.8589    3.0376
  572    0.9144    1.8346    2.9809
  573    1.1271    2.0947    3.1624
  574    1.0715    1.8921    3.1522
  575    1.1198    2.0573    3.3120
  576    1.0147    2.0004    3.1329
  577    1.0225    1.9180    3.2588
  578    0.9652    1.8617    3.1991
  579    1.0016    1.9324    3.0121
  580    0.9492    1.9961    2.8843
  581    0.9318    1.8936    3.1778
  582    1.0551    1.9821    2.8474
  583    1.0930    1.8013    2.7471
  584    0.9600    1.7491    2.4816
  585    1.1337    1.8016    2.9276
  586    1.0827    1.8035    2.8004
  587    0.9457    2.1347    2.2642
  588    0.9159    2.0372    2.4099
  589    0.9914    1.8927    2.7410
  590    0.7794    1.8115    3.0810
  591    0.8307    1.7432    2.7569
  592    0.9250    1.7304    2.9851
  593    1.0157    1.7302    3.0022
  594    0.9310    2.0081    2.7421
  595    0.9947    1.9453    2.8817
  596    1.0863    1.6797    3.5568
  597    1.1398    1.9654    3.6519
  598    1.1342    1.9431    3.8507
  599    1.1257    2.2567    3.2121
  600    1.1958    2.0166    3.3585
  601    1.0695    1.7066    3.4867
  602    0.9475    1.7080    3.2664
  603    0.9599    1.8172    3.2173
  604    0.9635    1.8399    3.3472
  605    1.0800    1.9531    3.6583
  606    1.0807    1.9773    3.5027
  607    0.9457    1.9430    2.9060
  608    0.9495    1.9883    2.8690
  609    0.9298    1.7657    3.1014
  610    0.9244    1.9051    2.9640
  611    1.0264    1.8564    3.1848
  612    1.0352    1.9492    2.9621
  613    1.0364    2.1742    2.7289
  614    0.8983    1.7858    2.8942
  615    0.9208    1.8243    2.9297
  616    1.0032    2.0440    3.0251
  617    0.9739    1.9668    2.7487
  618    0.8822    2.0821    2.6677
  619    0.8737    1.6881    2.8063
  620    0.9087    1.7526    2.8303
  621    0.8696    1.6217    2.9184
  622    0.8994    1.8637    2.7789
  623    0.9082    1.9691    2.7948
  624    0.8008    1.8897    2.8131
  625    0.8470    1.7967    2.9840
  626    0.9512    1.7027    2.9915
  627    0.9786    1.9126    2.4623
  628    1.0350    1.9443    2.6255
  629    0.9998    2.2046    2.4370
  630    0.9747    2.2473    2.6683
  631    0.9228    2.0648    2.8059
  632    1.1147    2.0357    3.1491
  633    1.0804    2.2325    2.7719
  634    1.0136    2.1315    2.5138
  635    1.0428    2.0191    2.7733
  636    1.0722    1.9336    2.6861
  637    1.0404    1.8469    2.8349
  638    0.9105    1.7508    2.7996
  639    0.9460    1.9083    2.8487
  640    0.8847    1.9025    3.0000
  641    0.9533    1.9799    2.8621
  642    0.9245    2.0078    2.8661
  643    0.8614    1.8223    2.7712
  644    0.9310    1.8590    3.0734
  645    0.8475    1.5690    3.0511
  646    0.8650    1.6443    2.8770
  647    0.8566    1.5720    2.8203
  648    0.9109    1.7034    3.0282
  649    0.9118    1.6050    3.3716
  650    0.9238    1.5301    3.3489
  651    1.0244    1.5211    3.3124
  652    1.0283    1.7281    3.3241
  653    0.9327    1.9552    2.9327
  654    1.0240    2.0781    3.2854
  655    0.9414    2.2191    2.8757
  656    0.8401    1.9011    3.0951
  657    0.8904    2.1314    3.0856
  658    1.0265    2.0376    3.3103
  659    1.0276    1.9416    3.4948
  660    1.1048    1.9788    3.4023
  661    1.1079    1.9702    3.4543
  662    0.9495    2.0941    2.8717
  663    1.0506    2.0778    3.4581
  664    0.8902    2.3095    2.8611
  665    0.9854    2.2461    3.1551
  666    0.9356    2.3909    2.6014
  667    0.9102    2.4051    2.6286
  668    0.9231    2.3728    2.6223
  669    0.9292    2.3531    2.6684
  670    0.9408    2.2258    2.7918
  671    0.9712    2.2821    2.6219
  672    0.8985    2.2544    2.4448
  673    0.9984    2.1577    2.7137
  674    0.9686    1.8084    2.8442
  675    1.0023    1.7147    3.0083
  676    1.0345    1.7210    3.1440
  677    1.1521    1.8929    3.1500
  678    0.9888    1.6896    3.1889
  679    0.8349    1.8227    3.0885
  680    0.7652    1.9298    2.9081
  681    0.7565    1.8577    2.6078
  682    0.7571    1.8077    2.2237
  683    0.7581    1.5874    2.5138
  684    0.7485    1.6569    2.7012
  685    0.7904    1.5616    2.8617
  686    0.8518    1.6957    2.3392
  687    0.8488    1.8063    2.5146
  688    0.9086    2.0129    2.5658
  689    0.9763    1.8747    2.8443
  690    1.0343    2.0842    2.7333
  691    0.9793    2.1193    2.8660
  692    0.9915    2.1162    2.8064
  693    0.9308    1.8380    2.5490
  694    0.9525    1.8367    2.6189
  695    1.0012    1.7675    2.4508
  696    0.8124    1.8929    2.4359
  697    0.8341    2.1233    2.6374
  698    1.0037    2.1989    3.0832
  699    0.7908    1.8825    2.7093
  700    0.9211    1.9405    3.2187
  701    0.9576    1.8000    3.3798
  702    1.0393    1.8597    3.4886
  703    1.0644    1.8692    3.3152
  704    1.0610    1.7219    3.6832
  705    0.9950    1.8191    3.6027
  706    0.9496    1.7115    3.3792
  707    1.0128    2.1644    3.1529
  708    1.0979    2.1885    2.7216
  709    1.0128    1.9438    2.6783
  710    0.9518    2.1274    2.8015
  711    0.8989    1.8402    2.5872
  712    0.8920    1.8857    2.7632
  713    0.8145    1.8582    2.7120
  714    0.8993    1.9603    3.0786
  715    1.0364    1.6748    3.3891
  716    1.0910    1.7376    3.4368
  717    0.9862    1.6355    3.2834
  718    1.0167    1.7844    2.9998
  719    0.9721    1.8332    3.4250
  720    1.0314    1.8978    3.1741
  721    0.8950    2.1978    2.7412
  722    0.8204    2.0270    2.5533
  723    0.8606    2.0231    2.6688
  724    0.8445    1.7499    3.0206
  725    0.7721    1.7515    2.8566
  726    0.6985    1.8416    2.5633
  727    0.7069    1.9920    2.4979
  728    0.7856    2.0569    2.7229
  729    0.9109    2.3095    2.6689
  730    0.9490    1.9556    3.0483
  731    0.9495    1.9829    2.7960
  732    0.8473    2.2769    2.5046
  733    0.9124    2.0586    2.6343
  734    1.0221    1.9207    3.0156
  735    0.9820    2.0267    2.9133
  736    1.0703    2.0211    2.9064
  737    1.1091    2.1087    3.2144
  738    1.1282    1.9944    3.3638
  739    1.0318    2.1725    3.0843
  740    0.8833    1.8619    2.9620
  741    0.9697    2.0001    3.2937
  742    0.9659    1.7814    3.2190
  743    0.9371    2.0718    2.7865
  744    0.9955    2.2299    2.6872
  745    0.9971    2.2775    2.9500
  746    0.9706    1.7795    2.9530
  747    1.0802    1.8652    3.1838
  748    1.1133    1.8270    3.4171
  749    0.9984    1.8884    3.1843
  750    1.0312    2.0216    2.7556
  751    0.9591    2.1194    2.8619
  752    0.9901    1.9515    2.6700
  753    0.8889    1.9282    2.5926
  754    1.0319    1.6614    3.0397
  755    0.8728    1.6375    2.9749
  756    0.8049    1.8009    2.5845
  757    0.8914    2.0550    2.6592
  758    0.8915    2.0809    2.7800
  759    0.8361    2.2947    2.3954
  760    0.7914    2.1886    2.2309
  761    0.8178    2.3675    2.1867
  762    0.8284    2.0061    2.4399
  763    0.9203    1.7565    3.0051
  764    0.9692    1.9150    3.2744
  765    0.9582    1.9880    3.0499
  766    0.9069    2.0445    2.6516
  767    0.9667    2.1178    2.7984
  768    1.0436    1.8375    3.3349
  769    1.0307    1.7620    3.2858
  770    0.8951    2.1887    2.8479
  771    0.9641    2.1439    2.8805
  772    0.9870    1.8692    3.1366
  773    0.9625    1.9175    2.9094
  774    0.9840    1.8617    3.1217
  775    0.9543    1.9221    2.9634
