
*** Testing procedure CalcFrequency ***

 138    9304.445738    9304.445738       115069.766255  115069.766255
 139  -28874.054350  -28874.054350       -37384.497498  -37384.497498
 140 -106908.897518 -106908.897518       -58941.449341  -58941.449341
 141   30129.685667   30129.685667        25568.251906   25568.251906
 142  -44035.955721  -44035.955721       -52630.028802  -52630.028802
 143  -41632.145925  -41632.145925       -29053.455124  -29053.455124
 144  -27115.348759  -27115.348759       -55179.866702  -55179.866702
 145  -20482.618232  -20482.618233         3005.026169    3005.026169
 146    8694.786486    8694.786486       -81608.488881  -81608.488881
 147   43524.818914   43524.818914        31355.165971   31355.165971
 148  -52983.629591  -52983.629591        38598.396506   38598.396506
 149   29007.506642   29007.506642       -20701.281584  -20701.281584
 150  145140.737883  145140.737883       -80212.324566  -80212.324566
 151  -75976.923344  -75976.923344       -74725.051900  -74725.051900
 152   31088.398458   31088.398458        59460.319281   59460.319281
 153  103678.733416  103678.733416        -2339.642667   -2339.642667
 154    2243.366838    2243.366838        94234.271547   94234.271547
 155   35377.336628   35377.336628         4494.420629    4494.420629
 156   24327.622371   24327.622371       -20680.454358  -20680.454358
 157   40146.411852   40146.411852        -2242.748157   -2242.748157
 158   -4415.632814   -4415.632814        82429.261279   82429.261279
 159  -22387.533554  -22387.533554        16094.567100   16094.567100
 160  -68720.305315  -68720.305315       -82097.602585  -82097.602585
 161   94652.388881   94652.388881        15871.026369   15871.026369
 162    9574.230440    9574.230440       -80840.697923  -80840.697923
 163  -48452.048805  -48452.048805       111914.148673  111914.148673
 164  -95303.069424  -95303.069424       -72402.082888  -72402.082888
 165   63823.331611   63823.331611       -65687.841876  -65687.841876
 166  -25710.418565  -25710.418565       -11282.579342  -11282.579342
 167  116562.263196  116562.263196       -39475.962741  -39475.962741
 168  -39883.997550  -39883.997550       112578.056988  112578.056988
 169   39906.200122   39906.200122       -77665.936530  -77665.936530
 170   23437.634870   23437.634870        21100.060810   21100.060810
 171  -24827.472501  -24827.472501         9836.988415    9836.988415
 172   -7692.096444   -7692.096444       -38045.342278  -38045.342278
 173   51692.439055   51692.439055       -91964.816168  -91964.816168
 174   20276.295815   20276.295815        32202.973140   32202.973140
 175   19589.309812   19589.309812       -51241.481733  -51241.481733
 176    8373.915645    8373.915645        46029.880770   46029.880770
 177   89639.671211   89639.671211        90062.189947   90062.189947
 178  -40973.817300  -40973.817300       152969.156188  152969.156188
 179   15743.064552   15743.064552        19804.365929   19804.365929
 180   -7177.384496   -7177.384496       -17183.569829  -17183.569829
 181   -8164.571584   -8164.571584       -19627.900877  -19627.900877
 182  -90944.657813  -90944.657813        19009.660718   19009.660718
 183    1057.428515    1057.428515        93600.920261   93600.920261
 184   99172.671735   99172.671735       -23655.754731  -23655.754731
 185  -42370.074062  -42370.074062        87279.990452   87279.990452
 186  -19982.904867  -19982.904867       -53393.418114  -53393.418114
 187 -148631.644996 -148631.644996       -12693.579848  -12693.579848
 188   59921.558941   59921.558941       -15059.448632  -15059.448632
 189   57241.908076   57241.908076        34943.091223   34943.091223
 190  -34698.031971  -34698.031971         5909.168894    5909.168894
 191   39046.517273   39046.517273        55375.011580   55375.011580
 192   23119.589253   23119.589253       -43967.912217  -43967.912217
 193   83221.199278   83221.199278        63533.361731   63533.361731
 194  -86345.972449  -86345.972449        41237.453884   41237.453884
 195   11054.532966   11054.532966        85563.490724   85563.490724
 196  -38358.249245  -38358.249245        92798.175120   92798.175120
 197     773.568876     773.568876        -5953.948293   -5953.948293
 198   45310.956563   45310.956563        20617.828236   20617.828236
 199  -21708.976912  -21708.976912        63491.981664   63491.981664
 200  -40357.411113  -40357.411113       -64219.246532  -64219.246532
 201  -34704.152508  -34704.152508         5371.435142    5371.435142
 202   68035.531332   68035.531332        92924.538223   92924.538223
 203   15709.734482   15709.734482        61790.074548   61790.074548
 204   57788.895614   57788.895614        24102.677469   24102.677469
 205  -65912.418597  -65912.418597       -41464.504715  -41464.504715
 206  -56794.187354  -56794.187354      -134455.924767 -134455.924767
 207  -69654.600031  -69654.600031       -19204.452394  -19204.452394
 208  -55852.575428  -55852.575428       -65058.151658  -65058.151658
 209  109547.891143  109547.891143      -100743.393807 -100743.393807
 210   70922.109603   70922.109603       -59889.247020  -59889.247020
 211   37284.388091   37284.388091      -106611.483540 -106611.483540
 212      99.997441      99.997441        20071.212359   20071.212359
 213   19936.300077   19936.300077       183638.936430  183638.936430
 214   76493.991179   76493.991179        50072.664990   50072.664990
 215  -84904.041537  -84904.041537        -7332.446142   -7332.446142
 216   47931.119581   47931.119581       -13945.668074  -13945.668074
 217  -25256.568163  -25256.568163        23950.509961   23950.509961
 218   68635.075978   68635.075978       -59840.767322  -59840.767322
 219  -29088.652294  -29088.652294        35335.215797   35335.215797
 220  171524.534928  171524.534928       -51858.414405  -51858.414405
 221   62134.769791   62134.769791       -72572.956988  -72572.956988
 222 -117784.042643 -117784.042643        66247.905615   66247.905615
 223 -107331.661074 -107331.661074        -2334.723523   -2334.723523
 224   17361.208748   17361.208748        23457.447106   23457.447106
 225 -103196.128496 -103196.128496         9565.663241    9565.663241
 226   36265.429882   36265.429882       -17231.296416  -17231.296416
 227   46719.622157   46719.622157       -21060.867360  -21060.867360
 228  -51876.173864  -51876.173864        -1653.061376   -1653.061376
 229   24785.239225   24785.239225       111616.568614  111616.568614
 230  -68186.028901  -68186.028901         4341.738258    4341.738258
 231   -4499.660439   -4499.660439       -22923.604530  -22923.604530
 232  -50181.400243  -50181.400243         -123.479259    -123.479259
 233  -33505.011109  -33505.011109        21596.546700   21596.546700
 234  -49663.910563  -49663.910563         2658.390811    2658.390811
 235 -100334.687491 -100334.687491       -63338.195058  -63338.195058
 236   10095.429352   10095.429352        51142.659106   51142.659106
 237  -70958.874168  -70958.874168       -68880.633085  -68880.633085
 238  -47676.105456  -47676.105456        52865.004612   52865.004612
 239 -146448.431867 -146448.431867        41697.203438   41697.203438
 240   26603.074828   26603.074828       -32576.568227  -32576.568227
 241  -24510.126181  -24510.126181        73331.236059   73331.236059
 242  -45680.697606  -45680.697606        17346.285997   17346.285997
 243  -80364.909500  -80364.909500          833.729787     833.729787
 244   81189.653005   81189.653005       -16588.179875  -16588.179875
 245  -54455.971878  -54455.971878        25207.544292   25207.544292
 246   -8812.989383   -8812.989383        29697.670737   29697.670737
 247   87619.736084   87619.736084        22661.015746   22661.015746
 248   48908.972738   48908.972738      -161511.278794 -161511.278794
 249  142770.359026  142770.359026      -102773.224197 -102773.224197
 250   16891.003481   16891.003481        67265.180213   67265.180213
 251   -2559.844080   -2559.844080       -80967.983369  -80967.983369
 252 -146902.568531 -146902.568531        12891.311321   12891.311321
 253  -36181.638861  -36181.638861       -90454.486404  -90454.486404
 254   22704.645150   22704.645150        38089.966960   38089.966960
 255   19252.888843   19252.888843       -41113.849132  -41113.849132
 256   41230.000000   41230.000000      -142674.000000 -142674.000000
 257  -30663.790848  -30663.790848       -71534.202824  -71534.202824
 258  -92845.685613  -92845.685613       -70316.273959  -70316.273959
 259  -77372.143262  -77372.143262       -81753.709535  -81753.709535
 260  -72181.283250  -72181.283250        88493.483171   88493.483171
 261  -74745.145118  -74745.145118        -3508.181327   -3508.181327
 262    3244.008543    3244.008543       110449.588823  110449.588823
 263  -46498.431500  -46498.431500       -80665.054786  -80665.054786
 264   98412.737943   98412.737943       148859.968989  148859.968989
 265   -8092.026989   -8092.026989      -167626.699976 -167626.699976
 266   24861.043570   24861.043570       -13410.500550  -13410.500550
 267   42472.108619   42472.108619       -40069.841360  -40069.841360
 268   91376.240460   91376.240460        52906.378143   52906.378143
 269    -824.320229    -824.320229       -12297.149977  -12297.149977
 270  -87644.972997  -87644.972997        67702.739785   67702.739785
 271  172629.619549  172629.619549       -50481.925019  -50481.925019
 272   -4539.914589   -4539.914589       -13827.784348  -13827.784348
 273  -52913.296107  -52913.296107       -54020.693326  -54020.693326
 274   56744.841960   56744.841960       -71463.655100  -71463.655100
 275  -28781.651377  -28781.651377        65387.101361   65387.101361
 276  -28192.271657  -28192.271657       -48660.729300  -48660.729300
 277  105791.496474  105791.496474        91181.962921   91181.962921
 278  156466.896385  156466.896385       -51496.351912  -51496.351912
 279  -45372.233565  -45372.233565      -173054.162467 -173054.162467
 280   21820.099308   21820.099308       -27201.665492  -27201.665492
 281  110475.386791  110475.386791       126027.966605  126027.966605
 282   46355.189312   46355.189312        85272.405615   85272.405615
 283   14978.359577   14978.359577       -90530.289739  -90530.289739
 284   87005.773723   87005.773723       -40488.213821  -40488.213821
 285   10537.567446   10537.567446       141711.678277  141711.678277
 286   73265.154994   73265.154994        27491.674619   27491.674619
 287   23692.823700   23692.823700        81324.392711   81324.392711
 288   -4306.372172   -4306.372172       -77865.283266  -77865.283266
 289  -49154.580769  -49154.580769       -22579.536875  -22579.536875
 290  -38826.247067  -38826.247067        42430.868804   42430.868804
 291  -42945.640691  -42945.640691        54725.118813   54725.118813
 292  139496.922825  139496.922825         -199.377650    -199.377650
 293  -88837.685012  -88837.685012        76363.267668   76363.267668
 294  -79974.688192  -79974.688192       -14039.905004  -14039.905004
 295 -114988.721977 -114988.721977        98897.012750   98897.012750
 296  -95421.252793  -95421.252793         3838.311911    3838.311911
 297  -59615.206022  -59615.206022         5159.187997    5159.187997
 298   11799.365320   11799.365320       -19912.683742  -19912.683742
 299 -156473.973613 -156473.973613       106747.560714  106747.560714
 300   -6190.841927   -6190.841927        26559.840960   26559.840960
 301   -6996.940313   -6996.940313       -98957.064763  -98957.064763
 302  -34189.388166  -34189.388166        71490.475757   71490.475757
 303  -25139.539222  -25139.539222        16768.837220   16768.837220
 304  176228.121114  176228.121114       -46276.089220  -46276.089220
 305   98800.344640   98800.344640        11257.744863   11257.744863
 306  -77530.611224  -77530.611224        26941.528325   26941.528325
 307  -36653.079518  -36653.079518       -18126.410218  -18126.410218
 308    9747.040554    9747.040554      -105389.120890 -105389.120890
 309   63168.336605   63168.336605       -38296.439867  -38296.439867
 310  119022.209561  119022.209561        15952.892955   15952.892955
 311   98859.196048   98859.196048         5383.628108    5383.628108
 312  -25269.973401  -25269.973401        -3300.457288   -3300.457288
 313 -112137.117112 -112137.117112        81712.957141   81712.957141
 314   71125.131834   71125.131834       -31997.760823  -31997.760823
 315  124541.050958  124541.050958       -14766.096293  -14766.096293
 316   -4516.422323   -4516.422323       -18262.931269  -18262.931269
 317    8528.779046    8528.779046        24693.324502   24693.324502
 318  -32198.997868  -32198.997868         6286.185520    6286.185520
 319   55252.007023   55252.007023        63587.869664   63587.869664
 320 -179145.135188 -179145.135188       -14204.202928  -14204.202928
 321 -105158.132642 -105158.132642         6096.762780    6096.762780
 322    -948.493442    -948.493442         7478.397693    7478.397693
 323  -26484.083181  -26484.083181        33293.181751   33293.181751
 324   33710.528006   33710.528006        -7683.494586   -7683.494586
 325  -21682.156298  -21682.156299      -112110.966436 -112110.966436
 326  131353.970790  131353.970790        11536.111403   11536.111403
 327  -37816.146473  -37816.146473        25973.909471   25973.909471
 328    5145.586952    5145.586952       -13153.664587  -13153.664587
 329   50116.074162   50116.074162       -36662.820122  -36662.820122
 330  -22650.258492  -22650.258492        14641.043224   14641.043224
 331  -75233.069248  -75233.069248       -18681.259157  -18681.259157
 332  -22841.943016  -22841.943016       -83476.353728  -83476.353728
 333  -38379.688445  -38379.688445       -65391.809416  -65391.809416
 334  -60579.482007  -60579.482007         4703.109809    4703.109809
 335  -67976.361100  -67976.361100        46587.386377   46587.386377
 336   -9320.334606   -9320.334606        28010.361943   28010.361943
 337   11908.116054   11908.116054       -21219.314722  -21219.314722
 338   12940.513996   12940.513996        -1434.498591   -1434.498591
 339   77437.064948   77437.064948       -28949.145371  -28949.145372
 340  -49799.520955  -49799.520955       -46246.163908  -46246.163908
 341   13116.192633   13116.192633      -131122.467110 -131122.467110
 342  -15170.028675  -15170.028675       -31928.068874  -31928.068874
 343  -68519.704564  -68519.704564        15781.967422   15781.967422
 344  -42031.401745  -42031.401745         5424.745299    5424.745299
 345  -17154.066244  -17154.066244       -72155.390941  -72155.390941
 346    5454.339820    5454.339820        23310.123835   23310.123835
 347    -258.291479    -258.291479        46651.955300   46651.955300
 348   91389.208596   91389.208596       -78279.473295  -78279.473295
 349   -5468.389194   -5468.389194       -37998.841754  -37998.841754
 350  -37301.532362  -37301.532362       118045.822042  118045.822042
 351   30750.950388   30750.950388       -39300.411405  -39300.411405
 352   75904.614995   75904.614995       111541.530856  111541.530856
 353  134428.011877  134428.011877       -19037.692837  -19037.692837
 354   15618.252511   15618.252511        29617.852529   29617.852529
 355  -49487.734805  -49487.734805       142623.302428  142623.302428
 356    3490.351518    3490.351518       -49103.177658  -49103.177658
 357  -65855.432256  -65855.432256       -82392.398766  -82392.398766
 358  -29316.310960  -29316.310960        25124.608642   25124.608642
 359   -8092.858146   -8092.858146       -12887.525267  -12887.525267
 360   28824.089296   28824.089296        71030.392255   71030.392255
 361   41392.713561   41392.713561        22675.378789   22675.378789
 362   80866.347506   80866.347506       129513.032122  129513.032122
 363  -40630.346001  -40630.346001        -5619.778030   -5619.778030
 364   99455.533986   99455.533986        55420.376929   55420.376929
 365  143370.354994  143370.354994       -29510.841128  -29510.841128
 366   44297.834151   44297.834151       -40122.543775  -40122.543775
 367   39459.326609   39459.326609       -11720.255776  -11720.255776
 368    5686.328326    5686.328326       -50409.004862  -50409.004862
 369  -29794.143401  -29794.143401       -42427.157136  -42427.157136
 370  -50824.353521  -50824.353521        73485.675346   73485.675346
 371  -37316.106769  -37316.106769        24142.256589   24142.256589
 372   14327.043779   14327.043779        33752.957184   33752.957184
 373  -16323.037920  -16323.037920       -25779.392678  -25779.392678
 374   24044.284006   24044.284006        10988.408398   10988.408398
 375   22266.530591   22266.530591        53796.856671   53796.856671
 376  -89828.616945  -89828.616945       -15507.094806  -15507.094806
 377  -13625.537839  -13625.537839        39751.495561   39751.495561
 378  -20453.965815  -20453.965815       -33384.608507  -33384.608507
 379   17092.122130   17092.122130        39583.631735   39583.631735
 380   45309.960099   45309.960099         6123.743328    6123.743328
 381 -100580.018353 -100580.018353        20086.342818   20086.342818
 382  -55459.969157  -55459.969157         5326.474924    5326.474924
 383  -94098.440069  -94098.440069        36724.951528   36724.951528
 384   76932.000000   76932.000000        55106.000000   55106.000000
 385   16692.942632   16692.942632       -81096.771799  -81096.771799
 386  -55123.106986  -55123.106986        41065.395756   41065.395756
 387  142249.304214  142249.304214      -132580.726215 -132580.726215
 388   38143.176585   38143.176585      -123996.946210 -123996.946210
 389  -75523.538761  -75523.538761        52384.406119   52384.406119
 390    5526.506685    5526.506685       102938.064868  102938.064868
 391   15321.209339   15321.209339        47475.431326   47475.431326
 392 -186739.982238 -186739.982238        51444.220521   51444.220521
 393   41060.103105   41060.103105       -45888.789504  -45888.789504
 394  -30772.878209  -30772.878209        43716.872032   43716.872032
 395   75416.203697   75416.203697       -12644.163215  -12644.163215
 396   87811.435685   87811.435685        97988.074402   97988.074402
 397   -1802.319388   -1802.319388        47263.499983   47263.499983
 398  -48875.196326  -48875.196326       -89033.110723  -89033.110723
 399  -64515.080541  -64515.080541       -12844.187600  -12844.187600
 400  -13436.168625  -13436.168625        69909.365314   69909.365314
 401  -82822.031106  -82822.031106       -51394.872957  -51394.872957
 402   11382.291916   11382.291916       -41298.895978  -41298.895978
 403   16880.192267   16880.192267       -83225.271277  -83225.271277
 404  -49910.587757  -49910.587757       -16508.385832  -16508.385832
 405  -38245.751994  -38245.751994       -85123.307600  -85123.307600
 406   86150.248522   86150.248522        -7219.788203   -7219.788203
 407  -26821.360973  -26821.360973         2561.899756    2561.899756
 408   -3710.288586   -3710.288586        43207.268168   43207.268168
 409 -132368.381100 -132368.381100        -5060.457585   -5060.457585
 410  -24371.037386  -24371.037386       -11212.329290  -11212.329290
 411  -30981.927988  -30981.927988       -58341.795610  -58341.795610
 412  104169.164260  104169.164260        43153.699216   43153.699216
 413  -47787.224882  -47787.224882        22825.118722   22825.118722
 414    2659.497987    2659.497987       -26644.364347  -26644.364347
 415  -76327.598171  -76327.598171        16837.821498   16837.821498
 416  -11927.180028  -11927.180028        25454.114320   25454.114320
 417   39858.301625   39858.301625        42394.765287   42394.765287
 418   47452.695046   47452.695046         2856.904713    2856.904713
 419   99660.964550   99660.964550        43350.938587   43350.938587
 420   14848.578061   14848.578061        30087.038942   30087.038942
 421  -36836.386092  -36836.386092      -157944.404157 -157944.404157
 422  -97072.249544  -97072.249544        49264.666074   49264.666074
 423  114175.334205  114175.334205       -14874.057259  -14874.057259
 424  -35437.468265  -35437.468265        -9570.310233   -9570.310233
 425   40028.348795   40028.348795        12949.832037   12949.832037
 426  -48948.454505  -48948.454505        71658.230950   71658.230950
 427   62763.009953   62763.009953       -92800.981767  -92800.981767
 428   39119.667573   39119.667573        24943.339873   24943.339873
 429  -86061.873957  -86061.873957        39887.309361   39887.309361
 430   79123.088939   79123.088939        86628.915213   86628.915213
 431   72669.678886   72669.678886       -49585.832084  -49585.832084
 432  -48979.064733  -48979.064733         2181.241834    2181.241834
 433  146079.449558  146079.449558       -11639.714689  -11639.714689
 434   40720.617742   40720.617742       -89497.507797  -89497.507797
 435  -18575.424877  -18575.424877       -16286.396266  -16286.396266
 436  -29639.042442  -29639.042442       107546.126702  107546.126702
 437   18177.586135   18177.586135      -120187.671307 -120187.671307
 438 -108487.932879 -108487.932879       -17243.207205  -17243.207205
 439   19748.239655   19748.239655       -50738.836835  -50738.836835
 440   56417.110374   56417.110374        36088.995597   36088.995597
 441   20320.873632   20320.873632        -7317.288652   -7317.288652
 442   37727.083340   37727.083340          869.708489     869.708489
 443  -76594.714281  -76594.714281       -53612.668362  -53612.668362
 444  -82133.426648  -82133.426648       -83293.923496  -83293.923496
 445 -128113.865737 -128113.865737       -32053.281903  -32053.281903
 446  111223.807957  111223.807957         5691.570203    5691.570203
 447   10988.406082   10988.406082        31490.811061   31490.811061
 448   27738.410747   27738.410747       141477.912217  141477.912217
 449   34435.407029   34435.407029       -28484.913409  -28484.913409
 450 -173604.078210 -173604.078210       -64629.029946  -64629.029946
 451   27100.362761   27100.362761        -2142.665974   -2142.665974
 452   39338.356411   39338.356411        82348.344241   82348.344241
 453  -94652.579593  -94652.579593        81510.399627   81510.399627
 454  -10655.173024  -10655.173024       -60296.574901  -60296.574901
 455   30609.586579   30609.586579        33596.538602   33596.538602
 456   90987.264936   90987.264936       -32896.524779  -32896.524779
 457  110242.271257  110242.271257       146320.265024  146320.265024
 458 -105116.063289 -105116.063289        62548.881589   62548.881589
 459  -69082.247311  -69082.247311       -91367.703865  -91367.703865
 460   66660.688795   66660.688795       147482.411398  147482.411398
 461  -18979.548070  -18979.548070       -73252.891791  -73252.891791
 462   47077.857984   47077.857984        46932.799234   46932.799234
 463  -45140.548330  -45140.548330       -56029.295331  -56029.295331
 464   35354.655833   35354.655833       -76727.535744  -76727.535744
 465   29178.326282   29178.326282        80658.438533   80658.438533
 466     498.277219     498.277219        -9876.874303   -9876.874303
 467 -112351.857947 -112351.857947        79618.748240   79618.748240
 468  -43761.962207  -43761.962207      -106644.281154 -106644.281154
 469   43345.977716   43345.977716        19221.074243   19221.074243
 470    2711.873113    2711.873113       -52468.608526  -52468.608526
 471  -21481.935634  -21481.935634       -40476.622937  -40476.622937
 472  -25751.632717  -25751.632717          797.756683     797.756683
 473   15007.898185   15007.898185        81070.270177   81070.270177
 474    4668.209240    4668.209240       141448.299724  141448.299724
 475   44025.167928   44025.167928        69170.727949   69170.727949
 476  -18430.328171  -18430.328171        88901.550953   88901.550953
 477  -56763.761624  -56763.761624         4364.161981    4364.161981
 478   23990.926034   23990.926034       -22903.649105  -22903.649105
 479 -195073.073041 -195073.073041        46451.992612   46451.992612
 480  -22647.391919  -22647.391919        -9260.253706   -9260.253706
 481 -106036.780209 -106036.780209       130645.335982  130645.335982
